,age,latitude,longitude,genotype
269,5394,56.4033333,-5.478056,0
270,5044,56.4033333,-5.478056,0
271,5471,58.53,-3.603,0
272,5653,58.53,-3.603,0
273,5185,58.986516,-3.249,0
274,4700,57.29,18.13,0
275,4850,58.18,13.4,0
276,5746,55.844792,12.969467,0
277,4060,56.68,10.03,0
278,3905,55.56,13.06,0
279,4307,61.658497,17.003742,0
280,6575,55.807759,22.422246,0
281,6090,55.259995,26.098001,0
282,6345,55.259995,26.098001,0
283,6150,55.259995,26.098001,0
284,6345,55.259995,26.098001,0
285,6290,55.767926,22.417098,0
286,6760,58.201689,26.465254,0
287,6585,58.272319,26.051586,0
288,5965,57.776,25.226,0
289,4495,55.917796,24.913053,0
290,4895,55.410218,23.646787,0
291,3890,55.767926,22.417098,0
292,4550,47.809892,20.889267,0
293,5100,47.809892,20.889267,0
294,4740,42.3525,-3.518333333,2
295,5040,42.3525,-3.518333333,0
296,5091,42.3525,-3.518333333,0
297,5050,39.110833,-8.66358,0
298,4900,38.745035,-9.215172,0
299,4900,38.745035,-9.215172,0
300,5450,39.749533,-8.807683,0
301,4000,35.08,25.83,2
302,4000,35.08,25.83,2
303,4000,35.08,25.83,2
304,3895,35.05,24.81,0
305,3895,35.05,24.81,2
306,3287,37.97,23.5,2
307,3250,37.5,23.45,2
308,3298,36.92,21.7,2
309,3250,37.5,23.45,2
310,4300,47.429954,19.051966,2
311,4300,47.429954,19.051966,0
312,4000,47.429954,19.051966,0
313,4035,47.17,20.83,0
314,3140,47.82,19.95,0
315,3741,46.22,20.2,0
316,3700,47.34,18.9,0
317,3550,47.34,18.9,2
318,3700,47.34,18.9,0
319,3969,47.33,18.96,0
320,3370,42,-1,0
321,3535,38.015304,-7.862731,0
322,3550,37.944345,-7.597874,0
323,3550,37.944345,-7.597874,0
324,3550,38.059387,-8.114071,0
325,4412,59.41,27.03,0
326,5450,50.19,14.158,0
327,4200,50.19,14.158,0
328,4200,50.19,14.158,0
329,4287,51.42,11.68,0
330,4473,51.42,11.68,0
331,4378,51.42,11.68,0
332,4225,51.42,11.68,0
333,4408,51.42,11.68,0
334,3807,51.42,11.68,2
335,4106,51.42,11.68,2
336,3951,51.89,11.04,0
337,3909,51.79,11.14,0
338,3987,51.42,11.68,0
339,3813,50.98,17.07,0
340,4250,50.0504153,14.3667267,0
341,4250,50.0504153,14.3667267,0
342,6450,50.0504153,14.3667267,0
343,4050,50.0504153,14.3667267,0
